Barcelona 1992 Olympics: This countries medal tally was: 0  Gold, 2  Silver, 0  Bronze, 2 in Total`south africa
Seoul 1988 Olympics: How many SILVER medals were won by: Pakistan`0
Seoul 1988 Olympics: How many SILVER medals were won by: Philippines`0
Seoul 1988 Olympics: How many SILVER medals were won by: Thailand`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: United States`61
Los Angeles 1984 Olympics: How many SILVER medals were won by: West Germany`19
Los Angeles 1984 Olympics: How many SILVER medals were won by: Romania`16
Los Angeles 1984 Olympics: How many SILVER medals were won by: Canada`18
Los Angeles 1984 Olympics: How many SILVER medals were won by: China`8
Los Angeles 1984 Olympics: How many SILVER medals were won by: Italy`6
Los Angeles 1984 Olympics: How many SILVER medals were won by: Japan`8
Los Angeles 1984 Olympics: How many SILVER medals were won by: France`7
Los Angeles 1984 Olympics: How many SILVER medals were won by: Australia`8
Los Angeles 1984 Olympics: How many SILVER medals were won by: Great Britain`11
Los Angeles 1984 Olympics: How many SILVER medals were won by: Sweden`11
Los Angeles 1984 Olympics: How many SILVER medals were won by: Yugoslavia`4
Los Angeles 1984 Olympics: How many SILVER medals were won by: Netherlands`8
Los Angeles 1984 Olympics: How many SILVER medals were won by: Finland`2
Los Angeles 1984 Olympics: How many SILVER medals were won by: New Zealand`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Brazil`5
Los Angeles 1984 Olympics: How many SILVER medals were won by: Switzerland`4
Los Angeles 1984 Olympics: How many SILVER medals were won by: Mexico`3
Los Angeles 1984 Olympics: How many SILVER medals were won by: Denmark`3
Los Angeles 1984 Olympics: How many SILVER medals were won by: Spain`2
Los Angeles 1984 Olympics: How many SILVER medals were won by: Belgium`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Austria`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Portugal`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Jamaica`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Norway`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Turkey`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Venezuela`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Morocco`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Kenya`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Greece`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Nigeria`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Puerto Rico`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Algeria`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Pakistan`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Colombia`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Egypt`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Ireland`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Ivory Coast`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Peru`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Syria`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Thailand`1
Los Angeles 1984 Olympics: How many SILVER medals were won by: Cameroon`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Dominic Republic`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Iceland`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Taiwan`0
Los Angeles 1984 Olympics: How many SILVER medals were won by: Zambia`0
Moscow 1980 Olympics: How many SILVER medals were won by: Soviet Union`69
Moscow 1980 Olympics: How many SILVER medals were won by: East Germany`37
Moscow 1980 Olympics: How many SILVER medals were won by: Bulgaria`16
Moscow 1980 Olympics: How many SILVER medals were won by: Hungary`10
Moscow 1980 Olympics: How many SILVER medals were won by: Poland`14
Moscow 1980 Olympics: How many SILVER medals were won by: Romania`6
Moscow 1980 Olympics: How many SILVER medals were won by: Great Britain`7
Moscow 1980 Olympics: How many SILVER medals were won by: Cuba`7
Moscow 1980 Olympics: How many SILVER medals were won by: Italy`3
Moscow 1980 Olympics: How many SILVER medals were won by: France`5
Moscow 1980 Olympics: How many SILVER medals were won by: Czechoslovakia`3
Moscow 1980 Olympics: How many SILVER medals were won by: Sweden`3
Moscow 1980 Olympics: How many SILVER medals were won by: Yugoslavia`3
Moscow 1980 Olympics: How many SILVER medals were won by: Australia`2
Moscow 1980 Olympics: How many SILVER medals were won by: Finland`1
Moscow 1980 Olympics: How many SILVER medals were won by: Spain`3
Moscow 1980 Olympics: How many SILVER medals were won by: Denmark`1
Moscow 1980 Olympics: How many SILVER medals were won by: North Korea`3
Moscow 1980 Olympics: How many SILVER medals were won by: Brazil`0
Moscow 1980 Olympics: How many SILVER medals were won by: Ethiopia`0
Moscow 1980 Olympics: How many SILVER medals were won by: Austria`2
Moscow 1980 Olympics: How many SILVER medals were won by: Monaco`2
Moscow 1980 Olympics: How many SILVER medals were won by: Mexico`1
Moscow 1980 Olympics: How many SILVER medals were won by: Greece`0
Moscow 1980 Olympics: How many SILVER medals were won by: Netherlands`1
Moscow 1980 Olympics: How many SILVER medals were won by: Jamaica`0
Moscow 1980 Olympics: How many SILVER medals were won by: Switzerland`0
Moscow 1980 Olympics: How many SILVER medals were won by: Tanzania`2
Moscow 1980 Olympics: How many SILVER medals were won by: Ireland`1
Moscow 1980 Olympics: How many SILVER medals were won by: India`0
Moscow 1980 Olympics: How many SILVER medals were won by: Belgium`0
Moscow 1980 Olympics: How many SILVER medals were won by: Zimbabwe`0
Moscow 1980 Olympics: How many SILVER medals were won by: Uganda`1
Moscow 1980 Olympics: How many SILVER medals were won by: Venezuela`1
Moscow 1980 Olympics: How many SILVER medals were won by: Guyana`0
Moscow 1980 Olympics: How many SILVER medals were won by: Lebanon`0
Montreal 1976 Olympics: How many SILVER medals were won by: Soviet Union`41
Montreal 1976 Olympics: How many SILVER medals were won by: United States`35
Montreal 1976 Olympics: How many SILVER medals were won by: East Germany`25
Montreal 1976 Olympics: How many SILVER medals were won by: West Germany`12
Montreal 1976 Olympics: How many SILVER medals were won by: Romania`9
Montreal 1976 Olympics: How many SILVER medals were won by: Poland`6
Montreal 1976 Olympics: How many SILVER medals were won by: Japan`6
Montreal 1976 Olympics: How many SILVER medals were won by: Bulgaria`9
Montreal 1976 Olympics: How many SILVER medals were won by: Hungary`5
Montreal 1976 Olympics: How many SILVER medals were won by: Cuba`4
Montreal 1976 Olympics: How many SILVER medals were won by: Great Britain`5
Montreal 1976 Olympics: How many SILVER medals were won by: Italy`7
Montreal 1976 Olympics: How many SILVER medals were won by: Canada`5
Montreal 1976 Olympics: How many SILVER medals were won by: France`3
Montreal 1976 Olympics: How many SILVER medals were won by: Yugoslavia`3
Montreal 1976 Olympics: How many SILVER medals were won by: Czechoslovakia`2
Montreal 1976 Olympics: How many SILVER medals were won by: Finland`2
Montreal 1976 Olympics: How many SILVER medals were won by: South Korea`1
Montreal 1976 Olympics: How many SILVER medals were won by: Belgium`3
Montreal 1976 Olympics: How many SILVER medals were won by: Sweden`1
Montreal 1976 Olympics: How many SILVER medals were won by: Netherlands`2
Montreal 1976 Olympics: How many SILVER medals were won by: Australia`1
Montreal 1976 Olympics: How many SILVER medals were won by: New Zealand`1
Montreal 1976 Olympics: How many SILVER medals were won by: Switzerland`1
Montreal 1976 Olympics: How many SILVER medals were won by: Denmark`0
Montreal 1976 Olympics: How many SILVER medals were won by: Jamaica`1
Montreal 1976 Olympics: How many SILVER medals were won by: North Korea`1
Montreal 1976 Olympics: How many SILVER medals were won by: Norway`1
Montreal 1976 Olympics: How many SILVER medals were won by: Mexico`0
Montreal 1976 Olympics: How many SILVER medals were won by: Portugal`2
Montreal 1976 Olympics: How many SILVER medals were won by: Spain`2
Montreal 1976 Olympics: How many SILVER medals were won by: Iran`1
Montreal 1976 Olympics: How many SILVER medals were won by: Brazil`0
Montreal 1976 Olympics: How many SILVER medals were won by: Trinidad`0
Montreal 1976 Olympics: How many SILVER medals were won by: Monaco`1
Montreal 1976 Olympics: How many SILVER medals were won by: Venezuela`1
Montreal 1976 Olympics: How many SILVER medals were won by: Austria`0
Montreal 1976 Olympics: How many SILVER medals were won by: Puerto Rico`0
Montreal 1976 Olympics: How many SILVER medals were won by: Bermuda`0
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: United States of America`97
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Russia`88
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: China`59
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Australia`58
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Germany`56
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: France`38
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Italy`34
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Netherlands`25
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Cuba`29
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Great Britain`28
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Romania`26
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Korea`28
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Hungary`17
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Poland`14
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Japan`18
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bulgaria`13
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Greece`13
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sweden`12
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Norway`10
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ethiopia`8
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ukraine`23
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belarus`17
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kazakhstan`7
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Canada`14
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Spain`11
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Turkey`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Iran`4
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Czech Republic`8
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kenya`7
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Denmark`6
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Finland`4
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Austria`3
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Lithuania`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Azerbaijan`3
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Slovenia`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Switzerland`9
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Indonesia`6
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Slovakia`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mexico`6
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Algeria`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Uzbekistan`4
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Yugoslavia`3
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Latvia`3
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bahamas`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: New Zealand`4
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Thailand`3
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Estonia`3
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Croatia`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Cameroon`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Colombia`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mozambique`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Brazil`12
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Jamaica`7
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Nigeria`3
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belgium`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Africa`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Argentina`4
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Taiwan/Republic of China`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Morocco`5
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: North Korea`4
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Trinidad and Tobago`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Moldova`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Saudi Arabia`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ireland`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Uruguay`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Vietnam`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Georgia`6
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Portugal`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Costa Rica`2
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sri Lanka`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: India`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Qatar`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kuwait`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Armenia`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Barbados`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Macedonia`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Chile`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Iceland`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Israel`1
Sydney 2000 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kyrgyzstan`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: United States of America`98
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Germany`63
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Russia`59
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: China`46
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Australia`37
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Italy`35
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: France`34
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Korea`27
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Cuba`25
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ukraine`24
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Canada`21
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Hungary`20
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Romania`19
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: The Netherlands`17
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Brazil`15
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belarus`15
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Poland`14
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Spain`14
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bulgaria`14
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Japan`14
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Great Britain`14
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kazakhstan`11
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Czech Republic`9
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Greece`8
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sweden`8
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kenya`8
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Denmark`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Turkey`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Switzerland`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: New Zealand`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belgium`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Norway`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Nigeria`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Jamaica`6
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Africa`5
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: North Korea`5
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ireland`4
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Finland`4
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Algeria`3
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ethiopia`3
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Indonesia`3
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Iran`3
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Slovakia`3
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Argentina`3
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Austria`3
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Armenia`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Croatia`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Portugal`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Thailand`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Namibia`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Slovenia`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Malaysia`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Moldova`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Uzbekistan`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Yugoslavia`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Georgia`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Morocco`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Trinidad and Tobago`2
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Burundi`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Costa Rica`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ecuador`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Hong Kong, China`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Syria`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Azerbaijan`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bahamas`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Latvia`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Philippines`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Tonga`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Chinese Taipei`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Zambia`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: India`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Israel`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Lithuania`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mexico`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mongolia`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mozambique`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Puerto Rico`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Tunisia`1
Atlanta 1996 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Uganda`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Unified Team 1992`110
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: United States of America`103
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Germany`76
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: China`50
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Cuba`31
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Hungary`29
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: France`29
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Korea`27
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Australia`26
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Spain`21
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Great Britain`20
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Japan`20
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Italy`19
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Poland`17
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Canada`15
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Romania`15
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: The Netherlands`15
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bulgaria`14
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sweden`12
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: New Zealand`10
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: North Korea`9
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kenya`8
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Norway`7
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Czechoslovakia`6
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Turkey`6
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Denmark`6
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Indonesia`5
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Finland`5
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Jamaica`4
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Nigeria`4
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Brazil`3
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Morocco`3
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ethiopia`3
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Latvia`3
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belgium`3
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Croatia`3
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Iran`3
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Greece`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ireland`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Algeria`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Estonia`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Lithuania`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Austria`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Namibia`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Africa`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Israel`2
